//X Y Z Nx Ny Nz
163547.18750000 -6785.91503906 5030.93164063 -0.151772 0.880276 0.449533
163381.14062500 -7702.94433594 6775.62988281 -0.151772 0.880276 0.449533
163736.10937500 -7631.64062500 6755.83349609 -0.151772 0.880276 0.449533
161713.71875000 -7230.42333984 5322.47216797 -0.129422 0.888887 0.439466
161283.81250000 -6953.20166016 4634.61816406 -0.129422 0.888887 0.439466
161231.78125000 -7668.97900391 6067.06591797 -0.129422 0.888887 0.439466
161334.45312500 -7501.37011719 5758.39550781 -0.129422 0.888887 0.439466
161752.15625000 -8844.60351563 8597.82031250 -0.120258 0.889908 0.440002
162042.68750000 -8514.20410156 8010.32861328 -0.120258 0.889908 0.440002
162677.10937500 -8764.23632813 8686.90429688 -0.120258 0.889908 0.440002
162331.18750000 -8297.63867188 7651.87402344 -0.120258 0.889908 0.440002
162424.07812500 -8030.67333984 7138.65136719 -0.120258 0.889908 0.440002
163523.21875000 -8776.99121094 8942.39648438 -0.120258 0.889908 0.440002
161323.71875000 -8766.17968750 8327.60156250 -0.096279 0.894419 0.436744
160294.53125000 -8552.70117188 7658.38769531 -0.096279 0.894419 0.436744
160484.82812500 -7615.52636719 5773.84326172 -0.096279 0.894419 0.436744
160687.87500000 -7995.27343750 6600.14160156 -0.096279 0.894419 0.436744
159858.18750000 -8762.66113281 7992.51757813 -0.096279 0.894419 0.436744
160353.39062500 -8104.56201172 6750.04394531 -0.096279 0.894419 0.436744
159479.87500000 -7704.54248047 5686.06054688 -0.128749 0.895581 0.425861
159427.46875000 -7059.50048828 4314.33740234 -0.128749 0.895581 0.425861
159460.32812500 -7229.23779297 4681.03222656 -0.128749 0.895581 0.425861
159412.32812500 -8423.08496094 7176.22607422 -0.128749 0.895581 0.425861
159431.31250000 -7381.91210938 4993.25000000 -0.128749 0.895581 0.425861
159117.50000000 -8301.49511719 6831.98046875 -0.128749 0.895581 0.425861
159037.46875000 -8210.77246094 6617.38427734 -0.116564 0.897406 0.425530
